"dy [cm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.2,5.65,0,-122.5,-1.43407742655451
3.2,5.65,0,-122.4,-1.41191623678871
3.2,5.65,0,-122.3,-1.38978175542597
3.2,5.65,0,-122.2,-1.36767422322925
3.2,5.65,0,-122.1,-1.34559387221818
3.2,5.65,0,-122,-1.32354092582515
3.2,5.65,0,-121.9,-1.30151559904929
3.2,5.65,0,-121.8,-1.27951809860807
3.2,5.65,0,-121.7,-1.25754862308679
3.2,5.65,0,-121.6,-1.23560736308594
3.2,5.65,0,-121.5,-1.21369450136628
3.2,5.65,0,-121.4,-1.19181021299176
3.2,5.65,0,-121.3,-1.16995466547045
3.2,5.65,0,-121.2,-1.14812801889315
3.2,5.65,0,-121.1,-1.12633042607012
3.2,5.65,0,-121,-1.10456203266546
3.2,5.65,0,-120.9,-1.08282297732971
3.2,5.65,0,-120.8,-1.06111339183016
3.2,5.65,0,-120.7,-1.03943340117928
3.2,5.65,0,-120.6,-1.01778312376115
3.2,5.65,0,-120.5,-0.996162671455784
3.2,5.65,0,-120.4,-0.97457214976161
3.2,5.65,0,-120.3,-0.953011657915936
3.2,5.65,0,-120.2,-0.931481289013595
3.2,5.65,0,-120.1,-0.909981130123513
3.2,5.65,0,-120,-0.88851126240357
3.2,5.65,0,-119.9,-0.867071761213506
3.2,5.65,0,-119.8,-0.845662696226046
3.2,5.65,0,-119.7,-0.824284131536174
3.2,5.65,0,-119.6,-0.802936125768637
3.2,5.65,0,-119.5,-0.78161873218365
3.2,5.65,0,-119.4,-0.760331998780941
3.2,5.65,0,-119.3,-0.739075968401947
3.2,5.65,0,-119.2,-0.717850678830402
3.2,5.65,0,-119.1,-0.696656162891209
3.2,5.65,0,-119,-0.675492448547687
3.2,5.65,0,-118.9,-0.654359558997136
3.2,5.65,0,-118.8,-0.63325751276481
3.2,5.65,0,-118.7,-0.612186323796339
3.2,5.65,0,-118.6,-0.591146001548537
3.2,5.65,0,-118.5,-0.570136551078652
3.2,5.65,0,-118.4,-0.549157973132159
3.2,5.65,0,-118.3,-0.52821026422897
3.2,5.65,0,-118.2,-0.50729341674831
3.2,5.65,0,-118.1,-0.486407419011891
3.2,5.65,0,-118,-0.465552255365898
3.2,5.65,0,-117.9,-0.444727906261414
3.2,5.65,0,-117.8,-0.423934348333525
3.2,5.65,0,-117.7,-0.403171554479005
3.2,5.65,0,-117.6,-0.382439493932676
3.2,5.65,0,-117.5,-0.361738132342429
3.2,5.65,0,-117.4,-0.34106743184297
3.2,5.65,0,-117.3,-0.320427351128203
3.2,5.65,0,-117.2,-0.299817845522431
3.2,5.65,0,-117.1,-0.279238867050274
3.2,5.65,0,-117,-0.258690364505352
3.2,5.65,0,-116.9,-0.238172283517735
3.2,5.65,0,-116.8,-0.217684566620282
3.2,5.65,0,-116.7,-0.197227153313743
3.2,5.65,0,-116.6,-0.176799980130804
3.2,5.65,0,-116.5,-0.156402980698828
3.2,5.65,0,-116.4,-0.136036085801672
3.2,5.65,0,-116.3,-0.115699223440315
3.2,5.65,0,-116.2,-0.0953923188924417
3.2,5.65,0,-116.1,-0.0751152947709747
3.2,5.65,0,-116,-0.0548680710815272
3.2,5.65,0,-115.9,-0.0346505652788905
3.2,5.65,0,-115.8,-0.0144626923224853
3.2,5.65,0,-115.7,0.00569563526910611
3.2,5.65,0,-115.6,0.0258245073647114
3.2,5.65,0,-115.5,0.0459240161679041
3.2,5.65,0,-115.4,0.0659942561654586
3.2,5.65,0,-115.3,0.0860353240765747
3.2,5.65,0,-115.2,0.106047318803081
3.2,5.65,0,-115.1,0.126030341380502
3.2,5.65,0,-115,0.145984494929966
3.2,5.65,0,-114.9,0.165909884611021
3.2,5.65,0,-114.8,0.185806617575243
3.2,5.65,0,-114.7,0.205674802920679
3.2,5.65,0,-114.6,0.225514551647095
3.2,5.65,0,-114.5,0.245325976611988
3.2,5.65,0,-114.4,0.265109192487452
3.2,5.65,0,-114.3,0.284864315717726
3.2,5.65,0,-114.2,0.304591464477496
3.2,5.65,0,-114.1,0.324290758631002
3.2,5.65,0,-114,0.343962319691787
3.2,5.65,0,-113.9,0.363606270783191
3.2,5.65,0,-113.8,0.383222736599491
3.2,5.65,0,-113.7,0.402811843367842
3.2,5.65,0,-113.6,0.422373718810717
3.2,5.65,0,-113.5,0.441908492109141
3.2,5.65,0,-113.4,0.461416293866485
3.2,5.65,0,-113.3,0.480897256072901
3.2,5.65,0,-113.2,0.500351512070435
3.2,5.65,0,-113.1,0.519779196518669
3.2,5.65,0,-113,0.539180445360963
3.2,5.65,0,-112.9,0.558555395791371
3.2,5.65,0,-112.8,0.577904186221971
3.2,5.65,0,-112.7,0.597226956250909
3.2,5.65,0,-112.6,0.616523846630892
3.2,5.65,0,-112.5,0.635794999238253
3.2,5.65,0,-112.4,0.655040557042552
3.2,5.65,0,-112.3,0.674260664076651
3.2,5.65,0,-112.2,0.693455465407344
3.2,5.65,0,-112.1,0.712625107106484
3.2,5.65,0,-112,0.731769736222536
3.2,5.65,0,-111.9,0.750889500752674
3.2,5.65,0,-111.8,0.769984549615278
3.2,5.65,0,-111.7,0.789055032622993
3.2,5.65,0,-111.6,0.808101100456105
3.2,5.65,0,-111.5,0.827122904636421
3.2,5.65,0,-111.4,0.84612059750164
3.2,5.65,0,-111.3,0.865094332180017
3.2,5.65,0,-111.2,0.884044262565558
3.2,5.65,0,-111.1,0.902970543293511
3.2,5.65,0,-111,0.921873329716359
3.2,5.65,0,-110.9,0.940752777880129
3.2,5.65,0,-110.8,0.959609044501109
3.2,5.65,0,-110.7,0.978442286942928
3.2,5.65,0,-110.6,0.997252663194008
3.2,5.65,0,-110.5,1.01604033184534
3.2,5.65,0,-110.4,1.03480545206871
3.2,5.65,0,-110.3,1.05354818359511
3.2,5.65,0,-110.2,1.07226868669365
3.2,5.65,0,-110.1,1.09096712215065
3.2,5.65,0,-110,1.10964365124917
3.2,5.65,0,-109.9,1.12829843574878
3.2,5.65,0,-109.8,1.14693163786569
3.2,5.65,0,-109.7,1.16554342025312
3.2,5.65,0,-109.6,1.18413394598208
3.2,5.65,0,-109.5,1.20270337852227
3.2,5.65,0,-109.4,1.22125188172342
3.2,5.65,0,-109.3,1.23977961979679
3.2,5.65,0,-109.2,1.25828675729712
3.2,5.65,0,-109.1,1.27677345910454
3.2,5.65,0,-109,1.29523989040708
3.2,5.65,0,-108.9,1.31368621668318
3.2,5.65,0,-108.8,1.33211260368465
3.2,5.65,0,-108.7,1.35051921741965
3.2,5.65,0,-108.6,1.36890622413615
3.2,5.65,0,-108.5,1.38727379030543
3.2,5.65,0,-108.4,1.40562208260596
3.2,5.65,0,-108.3,1.42395126790734
3.2,5.65,0,-108.2,1.44226151325464
3.2,5.65,0,-108.1,1.46055298585285
3.2,5.65,0,-108,1.47882585305156
3.2,5.65,0,-107.9,1.49708028232981
3.2,5.65,0,-107.8,1.51531644128128
3.2,5.65,0,-107.7,1.53353449759947
3.2,5.65,0,-107.6,1.55173461906329
3.2,5.65,0,-107.5,1.56991697352266
3.2,5.65,0,-107.4,1.58808172888444
3.2,5.65,0,-107.3,1.6062290530984
3.2,5.65,0,-107.2,1.62435911414354
3.2,5.65,0,-107.1,1.64247208001447
3.2,5.65,0,-107,1.66056811870792
3.2,5.65,0,-106.9,1.67864739820959
3.2,5.65,0,-106.8,1.69671008648098
3.2,5.65,0,-106.7,1.71475635144653
3.2,5.65,0,-106.6,1.73278636098081
3.2,5.65,0,-106.5,1.75080028289592
3.2,5.65,0,-106.4,1.76879828492905
3.2,5.65,0,-106.3,1.7867805347302
3.2,5.65,0,-106.2,1.80474719984995
3.2,5.65,0,-106.1,1.82269844772751
3.2,5.65,0,-106,1.84063444567883
3.2,5.65,0,-105.9,1.85855536088488
3.2,5.65,0,-105.8,1.87646136038003
3.2,5.65,0,-105.7,1.89435261104061
3.2,5.65,0,-105.6,1.9122292795736
3.2,5.65,0,-105.5,1.9300915325054
3.2,5.65,0,-105.4,1.94793953617077
3.2,5.65,0,-105.3,1.96577345670188
3.2,5.65,0,-105.2,1.98359346001751
3.2,5.65,0,-105.1,2.00139971181234
3.2,5.65,0,-105,2.01919237754631
3.2,5.65,0,-104.9,2.03697162243425
3.2,5.65,0,-104.8,2.05473761143544
3.2,5.65,0,-104.7,2.07249050924343
3.2,5.65,0,-104.6,2.09023048027589
3.2,5.65,0,-104.5,2.10795768866457
3.2,5.65,0,-104.4,2.1256722982454
3.2,5.65,0,-104.3,2.14337447254872
3.2,5.65,0,-104.2,2.16106437478953
3.2,5.65,0,-104.1,2.17874216785789
3.2,5.65,0,-104,2.19640801430943
3.2,5.65,0,-103.9,2.214062076356
3.2,5.65,0,-103.8,2.23170451585627
3.2,5.65,0,-103.7,2.2493354943066
3.2,5.65,0,-103.6,2.26695517283193
3.2,5.65,0,-103.5,2.28456371217669
3.2,5.65,0,-103.4,2.30216127269597
3.2,5.65,0,-103.3,2.31974801434663
3.2,5.65,0,-103.2,2.33732409667857
3.2,5.65,0,-103.1,2.3548896788261
3.2,5.65,0,-103,2.37244491949933
3.2,5.65,0,-102.9,2.38998997697576
3.2,5.65,0,-102.8,2.40752500909182
3.2,5.65,0,-102.7,2.42505017323461
3.2,5.65,0,-102.6,2.44256562633365
3.2,5.65,0,-102.5,2.46007152485277
3.2,5.65,0,-102.4,2.47756802478201
3.2,5.65,0,-102.3,2.49505528162973
3.2,5.65,0,-102.2,2.5125334504146
3.2,5.65,0,-102.1,2.53000268565789
3.2,5.65,0,-102,2.54746314137569
3.2,5.65,0,-101.9,2.56491497107122
3.2,5.65,0,-101.8,2.58235832772732
3.2,5.65,0,-101.7,2.59979336379891
3.2,5.65,0,-101.6,2.61722023120558
3.2,5.65,0,-101.5,2.63463908132422
3.2,5.65,0,-101.4,2.65205006498176
3.2,5.65,0,-101.3,2.66945333244799
3.2,5.65,0,-101.2,2.68684903342841
3.2,5.65,0,-101.1,2.70423731705717
3.2,5.65,0,-101,2.72161833189015
3.2,5.65,0,-100.9,2.73899222589797
3.2,5.65,0,-100.8,2.75635914645923
3.2,5.65,0,-100.7,2.77371924035371
3.2,5.65,0,-100.6,2.79107265375571
3.2,5.65,0,-100.5,2.80841953222742
3.2,5.65,0,-100.4,2.82576002071235
3.2,5.65,0,-100.3,2.84309426352889
3.2,5.65,0,-100.2,2.8604224043639
3.2,5.65,0,-100.1,2.87774458626634
3.2,5.65,0,-100,2.89506095164105
3.2,5.65,0,-99.9,2.91237164224254
3.2,5.65,0,-99.8,2.92967679916882
3.2,5.65,0,-99.7,2.94697656285542
3.2,5.65,0,-99.6,2.96427107306932
3.2,5.65,0,-99.5,2.9815604689031
3.2,5.65,0,-99.4,2.99884488876904
3.2,5.65,0,-99.3,3.01612447039332
3.2,5.65,0,-99.2,3.03339935081038
3.2,5.65,0,-99.1,3.0506696663572
3.2,5.65,0,-99,3.06793555266774
3.2,5.65,0,-98.9,3.08519714466743
3.2,5.65,0,-98.8,3.10245457656776
3.2,5.65,0,-98.7,3.11970798186081
3.2,5.65,0,-98.6,3.13695749331403
3.2,5.65,0,-98.5,3.15420324296493
3.2,5.65,0,-98.4,3.17144536211598
3.2,5.65,0,-98.3,3.18868398132941
3.2,5.65,0,-98.2,3.20591923042225
3.2,5.65,0,-98.1,3.22315123846129
3.2,5.65,0,-98,3.2403801337582
3.2,5.65,0,-97.9,3.25760604386469
3.2,5.65,0,-97.8,3.27482909556774
3.2,5.65,0,-97.7,3.29204941488487
3.2,5.65,0,-97.6,3.30926712705952
3.2,5.65,0,-97.5,3.32648235655646
3.2,5.65,0,-97.4,3.3436952270573
3.2,5.65,0,-97.3,3.36090586145604
3.2,5.65,0,-97.2,3.3781143818547
3.2,5.65,0,-97.1,3.39532090955898
3.2,5.65,0,-97,3.41252556507408
3.2,5.65,0,-96.9,3.4297284681005
3.2,5.65,0,-96.8,3.4469297375299
3.2,5.65,0,-96.7,3.46412949144112
3.2,5.65,0,-96.6,3.48132784709616
3.2,5.65,0,-96.5,3.49852492093631
3.2,5.65,0,-96.4,3.51572082857827
3.2,5.65,0,-96.3,3.53291568481042
3.2,5.65,0,-96.2,3.55010960358909
3.2,5.65,0,-96.1,3.56730269803494
3.2,5.65,0,-96,3.58449508042938
3.2,5.65,0,-95.9,3.60168686221106
3.2,5.65,0,-95.8,3.61887815397242
3.2,5.65,0,-95.7,3.63606906545638
3.2,5.65,0,-95.6,3.65325970555298
3.2,5.65,0,-95.5,3.67045018229617
3.2,5.65,0,-95.4,3.68764060286063
3.2,5.65,0,-95.3,3.70483107355868
3.2,5.65,0,-95.2,3.72202169983725
3.2,5.65,0,-95.1,3.7392125862749
3.2,5.65,0,-95,3.75640383657893
3.2,5.65,0,-94.9,3.77359555358256
3.2,5.65,0,-94.8,3.79078783924213
3.2,5.65,0,-94.7,3.80798079463448
3.2,5.65,0,-94.6,3.8251745199542
3.2,5.65,0,-94.5,3.84236911451119
3.2,5.65,0,-94.4,3.85956467672809
3.2,5.65,0,-94.3,3.87676130413788
3.2,5.65,0,-94.2,3.89395909338149
3.2,5.65,0,-94.1,3.9111581402056
3.2,5.65,0,-94,3.92835853946027
3.2,5.65,0,-93.9,3.9455603850969
3.2,5.65,0,-93.8,3.9627637701661
3.2,5.65,0,-93.7,3.97996878681564
3.2,5.65,0,-93.6,3.99717552628854
3.2,5.65,0,-93.5,4.01438407892115
3.2,5.65,0,-93.4,4.03159453414132
3.2,5.65,0,-93.3,4.04880698046667
3.2,5.65,0,-93.2,4.06602150550291
3.2,5.65,0,-93.1,4.08323819594217
3.2,5.65,0,-93,4.10045713756148
3.2,5.65,0,-92.9,4.11767841522128
3.2,5.65,0,-92.8,4.13490211286401
3.2,5.65,0,-92.7,4.1521283135127
3.2,5.65,0,-92.6,4.16935709926975
3.2,5.65,0,-92.5,4.18658855131566
3.2,5.65,0,-92.4,4.20382274990791
3.2,5.65,0,-92.3,4.22105977437983
3.2,5.65,0,-92.2,4.23829970313962
3.2,5.65,0,-92.1,4.25554261366934
3.2,5.65,0,-92,4.27278858252408
3.2,5.65,0,-91.9,4.29003768533108
3.2,5.65,0,-91.8,4.307289996789
3.2,5.65,0,-91.7,4.32454559066721
3.2,5.65,0,-91.6,4.34180453980515
3.2,5.65,0,-91.5,4.3590669161118
3.2,5.65,0,-91.4,4.37633279056515
3.2,5.65,0,-91.3,4.39360223321176
3.2,5.65,0,-91.2,4.41087531316642
3.2,5.65,0,-91.1,4.4281520986118
3.2,5.65,0,-91,4.44543265679823
3.2,5.65,0,-90.9,4.46271705404355
3.2,5.65,0,-90.8,4.48000535573292
3.2,5.65,0,-90.7,4.49729762631885
3.2,5.65,0,-90.6,4.51459392932116
3.2,5.65,0,-90.5,4.53189432732705
3.2,5.65,0,-90.4,4.5491988819913
3.2,5.65,0,-90.3,4.56650765403635
3.2,5.65,0,-90.2,4.5838207032527
3.2,5.65,0,-90.1,4.60113808849914
3.2,5.65,0,-90,4.61845986770317
3.2,5.65,0,-89.9,4.63578609786144
3.2,5.65,0,-89.8,4.65311683504027
3.2,5.65,0,-89.7,4.67045213437618
3.2,5.65,0,-89.6,4.68779205007657
3.2,5.65,0,-89.5,4.70513663542038
3.2,5.65,0,-89.4,4.72248594275885
3.2,5.65,0,-89.3,4.73984002351631
3.2,5.65,0,-89.2,4.75719892819107
3.2,5.65,0,-89.1,4.77456270635636
3.2,5.65,0,-89,4.79193140666129
3.2,5.65,0,-88.9,4.80930507683188
3.2,5.65,0,-88.8,4.82668376367222
3.2,5.65,0,-88.7,4.84406751306556
3.2,5.65,0,-88.6,4.86145636997559
3.2,5.65,0,-88.5,4.87885037844767
3.2,5.65,0,-88.4,4.8962495816102
3.2,5.65,0,-88.3,4.91365402167597
3.2,5.65,0,-88.2,4.9310637399436
3.2,5.65,0,-88.1,4.94847877679909
3.2,5.65,0,-88,4.96589917171732
3.2,5.65,0,-87.9,4.98332496326369
3.2,5.65,0,-87.8,5.00075618909573
3.2,5.65,0,-87.7,5.0181928859649
3.2,5.65,0,-87.6,5.03563508971826
3.2,5.65,0,-87.5,5.05308283530041
3.2,5.65,0,-87.4,5.07053615675523
3.2,5.65,0,-87.3,5.08799508722792
3.2,5.65,0,-87.2,5.10545965896691
3.2,5.65,0,-87.1,5.12292990332588
3.2,5.65,0,-87,5.14040585076592
3.2,5.65,0,-86.9,5.15788753085757
3.2,5.65,0,-86.8,5.17537497228304
3.2,5.65,0,-86.7,5.19286820283844
3.2,5.65,0,-86.6,5.21036724943604
3.2,5.65,0,-86.5,5.2278721381066
3.2,5.65,0,-86.4,5.24538289400175
3.2,5.65,0,-86.3,5.26289954139641
3.2,5.65,0,-86.2,5.28042210369125
3.2,5.65,0,-86.1,5.29795060341518
3.2,5.65,0,-86,5.31548506222797
3.2,5.65,0,-85.9,5.33302550092279
3.2,5.65,0,-85.8,5.35057193942889
3.2,5.65,0,-85.7,5.3681243968143
3.2,5.65,0,-85.6,5.38568289128851
3.2,5.65,0,-85.5,5.40324744020535
3.2,5.65,0,-85.4,5.42081806006571
3.2,5.65,0,-85.3,5.43839476652046
3.2,5.65,0,-85.2,5.45597757437335
3.2,5.65,0,-85.1,5.47356649758393
3.2,5.65,0,-85,5.49116154927057
3.2,5.65,0,-84.9,5.50876274171347
3.2,5.65,0,-84.8,5.52637008635773
3.2,5.65,0,-84.7,5.54398359381643
3.2,5.65,0,-84.6,5.56160327387381
3.2,5.65,0,-84.5,5.57922913548844
3.2,5.65,0,-84.4,5.59686118679641
3.2,5.65,0,-84.3,5.61449943511464
3.2,5.65,0,-84.2,5.6321438869441
3.2,5.65,0,-84.1,5.64979454797319
3.2,5.65,0,-84,5.66745142308108
3.2,5.65,0,-83.9,5.6851145163411
3.2,5.65,0,-83.8,5.70278383102416
3.2,5.65,0,-83.7,5.72045936960224
3.2,5.65,0,-83.6,5.73814113375185
3.2,5.65,0,-83.5,5.7558291243576
3.2,5.65,0,-83.4,5.77352334151569
3.2,5.65,0,-83.3,5.79122378453754
3.2,5.65,0,-83.2,5.80893045195343
3.2,5.65,0,-83.1,5.82664334151608
3.2,5.65,0,-83,5.84436245020439
3.2,5.65,0,-82.9,5.86208777422709
3.2,5.65,0,-82.8,5.87981930902652
3.2,5.65,0,-82.7,5.89755704928234
3.2,5.65,0,-82.6,5.91530098891538
3.2,5.65,0,-82.5,5.93305112109137
3.2,5.65,0,-82.4,5.95080743822484
3.2,5.65,0,-82.3,5.96856993198294
3.2,5.65,0,-82.2,5.98633859328938
3.2,5.65,0,-82.1,6.00411341232826
3.2,5.65,0,-82,6.02189437854807
3.2,5.65,0,-81.9,6.0396814806656
3.2,5.65,0,-81.8,6.05747470666995
3.2,5.65,0,-81.7,6.0752740438265
3.2,5.65,0,-81.6,6.09307947868094
3.2,5.65,0,-81.5,6.1108909970633
3.2,5.65,0,-81.4,6.12870858409202
3.2,5.65,0,-81.3,6.14653222417799
3.2,5.65,0,-81.2,6.1643619010287
3.2,5.65,0,-81.1,6.18219759765232
3.2,5.65,0,-81,6.20003929636179
3.2,5.65,0,-80.9,6.21788697877904
3.2,5.65,0,-80.8,6.23574062583911
3.2,5.65,0,-80.7,6.25360021779432
3.2,5.65,0,-80.6,6.27146573421844
3.2,5.65,0,-80.5,6.28933715401096
3.2,5.65,0,-80.4,6.30721445540127
3.2,5.65,0,-80.3,6.32509761595285
3.2,5.65,0,-80.2,6.34298661256759
3.2,5.65,0,-80.1,6.36088142148998
3.2,5.65,0,-80,6.37878201831142
3.2,5.65,0,-79.9,6.39668837797447
3.2,5.65,0,-79.8,6.41460047477713
3.2,5.65,0,-79.7,6.43251828237716
3.2,5.65,0,-79.6,6.45044177379635
3.2,5.65,0,-79.5,6.46837092142488
3.2,5.65,0,-79.4,6.48630569702561
3.2,5.65,0,-79.3,6.50424607173838
3.2,5.65,0,-79.2,6.52219201608442
3.2,5.65,0,-79.1,6.54014349997057
3.2,5.65,0,-79,6.55810049269379
3.2,5.65,0,-78.9,6.57606296294533
3.2,5.65,0,-78.8,6.59403087881524
3.2,5.65,0,-78.7,6.61200420779661
3.2,5.65,0,-78.6,6.62998291679001
3.2,5.65,0,-78.5,6.64796697210782
3.2,5.65,0,-78.4,6.66595633947858
3.2,5.65,0,-78.3,6.6839509840514
3.2,5.65,0,-78.2,6.7019508704003
3.2,5.65,0,-78.1,6.7199559625286
3.2,5.65,0,-78,6.73796622387326
3.2,5.65,0,-77.9,6.75598161730926
3.2,5.65,0,-77.8,6.77400210515399
3.2,5.65,0,-77.7,6.79202764917161
3.2,5.65,0,-77.6,6.81005821057738
3.2,5.65,0,-77.5,6.82809375004208
3.2,5.65,0,-77.4,6.84613422769632
3.2,5.65,0,-77.3,6.86417960313491
3.2,5.65,0,-77.2,6.88222983542123
3.2,5.65,0,-77.1,6.90028488309156
3.2,5.65,0,-77,6.91834470415943
3.2,5.65,0,-76.9,6.93640925611995
3.2,5.65,0,-76.8,6.95447849595416
3.2,5.65,0,-76.7,6.97255238013334
3.2,5.65,0,-76.6,6.99063086462331
3.2,5.65,0,-76.5,7.00871390488879
3.2,5.65,0,-76.4,7.02680145589768
3.2,5.65,0,-76.3,7.04489347212533
3.2,5.65,0,-76.2,7.06298990755885
3.2,5.65,0,-76.1,7.08109071570141
3.2,5.65,0,-76,7.09919584957648
3.2,5.65,0,-75.9,7.11730526173208
3.2,5.65,0,-75.8,7.13541890424507
3.2,5.65,0,-75.7,7.15353672872534
3.2,5.65,0,-75.6,7.17165868632005
3.2,5.65,0,-75.5,7.18978472771789
3.2,5.65,0,-75.4,7.20791480315322
3.2,5.65,0,-75.3,7.22604886241029
3.2,5.65,0,-75.2,7.24418685482743
3.2,5.65,0,-75.1,7.26232872930119
3.2,5.65,0,-75,7.2804744342905
3.2,5.65,0,-74.9,7.29862391782081
3.2,5.65,0,-74.8,7.31677712748822
3.2,5.65,0,-74.7,7.3349340104636
3.2,5.65,0,-74.6,7.3530945134966
3.2,5.65,0,-74.5,7.37125858291987
3.2,5.65,0,-74.4,7.389426164653
3.2,5.65,0,-74.3,7.40759720420664
3.2,5.65,0,-74.2,7.42577164668649
3.2,5.65,0,-74.1,7.44394943679731
3.2,5.65,0,-74,7.46213051884697
3.2,5.65,0,-73.9,7.48031483675036
3.2,5.65,0,-73.8,7.49850233403339
3.2,5.65,0,-73.7,7.51669295383695
3.2,5.65,0,-73.6,7.53488663892077
3.2,5.65,0,-73.5,7.5530833316674
3.2,5.65,0,-73.4,7.57128297408605
3.2,5.65,0,-73.3,7.58948550781648
3.2,5.65,0,-73.2,7.60769087413284
3.2,5.65,0,-73.1,7.62589901394747
3.2,5.65,0,-73,7.64410986781479
3.2,5.65,0,-72.9,7.66232337593499
3.2,5.65,0,-72.8,7.68053947815787
3.2,5.65,0,-72.7,7.69875811398655
3.2,5.65,0,-72.6,7.71697922258122
3.2,5.65,0,-72.5,7.7352027427628
3.2,5.65,0,-72.4,7.75342861301669
3.2,5.65,0,-72.3,7.77165677149635
3.2,5.65,0,-72.2,7.78988715602702
3.2,5.65,0,-72.1,7.80811970410927
3.2,5.65,0,-72,7.82635435292264
3.2,5.65,0,-71.9,7.84459103932918
3.2,5.65,0,-71.8,7.86282969987703
3.2,5.65,0,-71.7,7.88107027080388
3.2,5.65,0,-71.6,7.89931268804056
3.2,5.65,0,-71.5,7.91755688721446
3.2,5.65,0,-71.4,7.93580280365299
3.2,5.65,0,-71.3,7.954050372387
3.2,5.65,0,-71.2,7.97229952815425
3.2,5.65,0,-71.1,7.9905502054027
3.2,5.65,0,-71,8.00880233829393
3.2,5.65,0,-70.9,8.02705586070645
3.2,5.65,0,-70.8,8.04531070623901
3.2,5.65,0,-70.7,8.06356680821387
3.2,5.65,0,-70.6,8.0818240996801
3.2,5.65,0,-70.5,8.10008251341675
3.2,5.65,0,-70.4,8.11834198193612
3.2,5.65,0,-70.3,8.13660243748688
3.2,5.65,0,-70.2,8.15486381205728
3.2,5.65,0,-70.1,8.17312603737825
3.2,5.65,0,-70,8.19138904492649
3.2,5.65,0,-69.9,8.20965276592761
3.2,5.65,0,-69.8,8.22791713135909
3.2,5.65,0,-69.7,8.24618207195339
3.2,5.65,0,-69.6,8.2644475182009
3.2,5.65,0,-69.5,8.28271340035294
3.2,5.65,0,-69.4,8.30097964842468
3.2,5.65,0,-69.3,8.31924619219809
3.2,5.65,0,-69.2,8.33751296122482
3.2,5.65,0,-69.1,8.35577988482903
3.2,5.65,0,-69,8.37404689211031
3.2,5.65,0,-68.9,8.39231391194642
3.2,5.65,0,-68.8,8.41058087299612
3.2,5.65,0,-68.7,8.42884770370192
3.2,5.65,0,-68.6,8.44711433229278
3.2,5.65,0,-68.5,8.46538068678686
3.2,5.65,0,-68.4,8.48364669499419
3.2,5.65,0,-68.3,8.5019122845193
3.2,5.65,0,-68.2,8.52017738276386
3.2,5.65,0,-68.1,8.53844191692927
3.2,5.65,0,-68,8.55670581401923
3.2,5.65,0,-67.9,8.57496900084232
3.2,5.65,0,-67.8,8.59323140401443
3.2,5.65,0,-67.7,8.61149294996137
3.2,5.65,0,-67.6,8.62975356492118
3.2,5.65,0,-67.5,8.64801317494674
3.2,5.65,0,-67.4,8.666271705908
3.2,5.65,0,-67.3,8.6845290834945
3.2,5.65,0,-67.2,8.70278523321767
3.2,5.65,0,-67.1,8.72104008041312
3.2,5.65,0,-67,8.73929355024301
3.2,5.65,0,-66.9,8.75754556769826
3.2,5.65,0,-66.8,8.77579605760083
3.2,5.65,0,-66.7,8.79404494460596
3.2,5.65,0,-66.6,8.81229215320426
3.2,5.65,0,-66.5,8.83053760772401
3.2,5.65,0,-66.4,8.84878123233321
3.2,5.65,0,-66.3,8.8670229510417
3.2,5.65,0,-66.2,8.88526268770329
3.2,5.65,0,-66.1,8.90350036601775
3.2,5.65,0,-66,8.92173590953289
3.2,5.65,0,-65.9,8.93996924164658
3.2,5.65,0,-65.8,8.95820028560864
3.2,5.65,0,-65.7,8.97642896452288
3.2,5.65,0,-65.6,8.99465520134902
3.2,5.65,0,-65.5,9.01287891890453
3.2,5.65,0,-65.4,9.03110003986655
3.2,5.65,0,-65.3,9.04931848677373
3.2,5.65,0,-65.2,9.06753418202804
3.2,5.65,0,-65.1,9.08574704789659
3.2,5.65,0,-65,9.10395700651335
3.2,5.65,0,-64.9,9.12216397988097
3.2,5.65,0,-64.8,9.14036788987242
3.2,5.65,0,-64.7,9.15856865823272
3.2,5.65,0,-64.6,9.17676620658064
3.2,5.65,0,-64.5,9.19496045641029
3.2,5.65,0,-64.4,9.21315132909277
3.2,5.65,0,-64.3,9.23133874587772
3.2,5.65,0,-64.2,9.24952262789495
3.2,5.65,0,-64.1,9.26770289615597
3.2,5.65,0,-64,9.28587947155546
3.2,5.65,0,-63.9,9.30405227487281
3.2,5.65,0,-63.8,9.32222122677361
3.2,5.65,0,-63.7,9.34038624781101
3.2,5.65,0,-63.6,9.35854725842726
3.2,5.65,0,-63.5,9.376704178955
3.2,5.65,0,-63.4,9.39485692961874
3.2,5.65,0,-63.3,9.41300543053609
3.2,5.65,0,-63.2,9.4311496017192
3.2,5.65,0,-63.1,9.44928936307602
3.2,5.65,0,-63,9.46742463441157
3.2,5.65,0,-62.9,9.48555533542921
3.2,5.65,0,-62.8,9.5036813857319
3.2,5.65,0,-62.7,9.52180270482339
3.2,5.65,0,-62.6,9.53991921210939
3.2,5.65,0,-62.5,9.55803082689879
3.2,5.65,0,-62.4,9.5761374684048
3.2,5.65,0,-62.3,9.59423905574602
3.2,5.65,0,-62.2,9.61233550794763
3.2,5.65,0,-62.1,9.63042674394239
3.2,5.65,0,-62,9.64851268257177
3.2,5.65,0,-61.9,9.66659324258694
3.2,5.65,0,-61.8,9.68466834264983
